work_order_number,type,summary,labor_cost,parts_cost,description
100,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,"Wipers don't operate. Diag of wiper system
Replace the wiper motor relay"
100,ServiceTask,Body & Frame (Miscellaneous),0.0,0.0,Weld on new hinge on rear storage box and clean up with new paint
100,ServiceTask,Nitrogen Oxide Sensor Replacement,0.0,0.0,Replace the leaking pressure sensor on top of the air compressor 
100,ServiceTask,Body (Miscellaneous),0.0,0.0,Remove and redesign the fire hose attachment with new ball valve to repair the leak.
101,ServiceTask,boom cables,0.0,0.0,Replace the boom cables from the control center to the valve 
101,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,Replace the outrigger switch 
102,ServiceTask,DOT Inspection,0.0,0.0,
103,ServiceTask,DOT Inspection,0.0,0.0,
99,ServiceTask,Body & Frame (Miscellaneous),0.0,0.0,Ear on quick change is broken off. Needs to be welded back on to be able to lock the pin to the stick.
104,ServiceTask,Throttle Linkage Inspect,0.0,0.0,Replace the Rear throttle lever and cable assy and test operation to verify the repairs made
104,ServiceTask,hydraulic hose replacement,0.0,0.0,Replace worn hyd lines to the hoepack 
105,ServiceTask,Battery Cable Inspect,0.0,0.0,Inspect and Replace the battery shutoff switch and test operation
104,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,"No Start!
Battery is not the correct one for the factory cable location. Tightened battery cable and tested operation to verify the repairs made"
104,ServiceTask,Battery Inspect,0.0,0.0,Battery Box Door is pinned closed from the stairs that are bent into the box
106,ServiceTask,Rear Brakes & Drums,0.0,0.0,Left rear brakes are locked up
106,ServiceTask,"Battery Cable Inspect, Battery to Starter ",0.0,0.0,Install battery cut off switch
107,ServiceTask,Battery Cable Inspect,0.0,0.0,Install battery cut off switch and replace battery cable to starter
108,ServiceTask,Body & Frame (Miscellaneous),0.0,0.0,Replace the cutting edge for the bucket
109,ServiceTask,hydraulic hose replacement,0.0,0.0,leaking hose from under cab by feet
111,ServiceTask,Coolant Test,0.0,0.0,pressure test the cooling system and check for leaks
111,ServiceTask,Engine Coolant Thermostat Replacement,0.0,0.0,"Replace the thermostat and reseal the housing
also replace the leaking coolant temp sensor on the thermostat housing
Replaced multiple cooler hoses and tested cooling system to verify the repairs made."
111,ServiceTask,Intake Manifold Replacement,0.0,0.0,
111,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
